Home Team;Away Team;Result
AZ;Astra;Win
Panathinaikos;Gabala;Draw
Fenerbahçe;Atromitos;Win
Hajduk Split;Liberec;Loss
Brøndby;PAOK;Draw
Rosenborg;FCSB;Loss
Dortmund;Odd;Win
Salzburg;Dinamo Minsk;Win
Standard Liège;Molde;Win
Vojvodina;Plzeň;Loss
Midtjylland;Southampton;Win
Athletic;Žilina;Win
Legia;Zorya;Win
Belenenses;Altach;Draw
Ajax;Celtic;Draw
Fenerbahçe;Molde;Loss
Sion;Rubin;Win
Bordeaux;Liverpool;Draw
Dortmund;Krasnodar;Win
Gabala;PAOK;Draw
Napoli;Club Brugge;Win
Midtjylland;Legia;Win
Plzeň;Dinamo Minsk;Win
Rapid Wien;Villarreal;Win
Groningen;Marseille;Loss
Liberec;Braga;Loss
St-Étienne;Rosenborg;Draw
Dnipro;Lazio;Draw
Skënderbeu;Beşiktaş;Loss
Sporting CP;Lokomotiv Moskva;Loss
Lech;Belenenses;Draw
Fiorentina;Basel;Loss
Tottenham;Qarabağ;Win
Anderlecht;Monaco;Draw
Asteras;Sparta Praha;Draw
APOEL;Schalke;Loss
Athletic;Augsburg;Win
Partizan;AZ;Win
Lazio;St-Étienne;Win
Rosenborg;Dnipro;Loss
Lokomotiv Moskva;Skënderbeu;Win
Beşiktaş;Sporting CP;Draw
Basel;Lech;Win
Belenenses;Fiorentina;Loss
Monaco;Tottenham;Draw
Qarabağ;Anderlecht;Win
Schalke;Asteras;Win
Sparta Praha;APOEL;Win
AZ;Athletic;Win
Augsburg;Partizan;Loss
Molde;Ajax;Draw
Celtic;Fenerbahçe;Draw
Liverpool;Sion;Draw
Rubin;Bordeaux;Draw
PAOK;Dortmund;Draw
Krasnodar;Gabala;Win
Legia;Napoli;Loss
Club Brugge;Midtjylland;Loss
Villarreal;Plzeň;Win
Dinamo Minsk;Rapid Wien;Loss
Braga;Groningen;Win
Marseille;Liberec;Loss
Gabala;Dortmund;Loss
Dnipro;St-Étienne;Loss
Lazio;Rosenborg;Win
Sporting CP;Skënderbeu;Win
Lokomotiv Moskva;Beşiktaş;Draw
Fiorentina;Lech;Loss
Basel;Belenenses;Loss
Anderlecht;Tottenham;Win
Monaco;Qarabağ;Win
APOEL;Asteras;Win
Schalke;Sparta Praha;Draw
Partizan;Athletic;Loss
AZ;Augsburg;Loss
Fenerbahçe;Ajax;Win
Molde;Celtic;Win
Bordeaux;Sion;Loss
Liverpool;Rubin;Draw
PAOK;Krasnodar;Draw
Midtjylland;Napoli;Loss
Legia;Club Brugge;Draw
Rapid Wien;Plzeň;Win
Villarreal;Dinamo Minsk;Win
Liberec;Groningen;Draw
Braga;Marseille;Win
Beşiktaş;Lokomotiv Moskva;Draw
Qarabağ;Monaco;Draw
Ajax;Fenerbahçe;Draw
Celtic;Molde;Loss
Sion;Bordeaux;Draw
Rubin;Liverpool;Loss
Dortmund;Gabala;Win
Krasnodar;PAOK;Win
Napoli;Midtjylland;Win
Club Brugge;Legia;Win
Plzeň;Rapid Wien;Loss
Dinamo Minsk;Villarreal;Loss
Groningen;Liberec;Loss
Marseille;Braga;Win
St-Étienne;Dnipro;Win
Rosenborg;Lazio;Loss
Skënderbeu;Sporting CP;Win
Lech;Fiorentina;Loss
Belenenses;Basel;Loss
Tottenham;Anderlecht;Win
Asteras;APOEL;Win
Sparta Praha;Schalke;Draw
Athletic;Partizan;Win
Augsburg;AZ;Win
Rubin;Sion;Win
Krasnodar;Dortmund;Win
Dinamo Minsk;Plzeň;Win
Rosenborg;St-Étienne;Draw
Lazio;Dnipro;Win
Beşiktaş;Skënderbeu;Win
Lokomotiv Moskva;Sporting CP;Loss
Belenenses;Lech;Draw
Basel;Fiorentina;Draw
Qarabağ;Tottenham;Loss
Monaco;Anderlecht;Loss
Sparta Praha;Asteras;Win
Schalke;APOEL;Win
Augsburg;Athletic;Loss
AZ;Partizan;Loss
Celtic;Ajax;Loss
Molde;Fenerbahçe;Loss
Liverpool;Bordeaux;Win
PAOK;Gabala;Draw
Club Brugge;Napoli;Loss
Legia;Midtjylland;Win
Villarreal;Rapid Wien;Win
Marseille;Groningen;Win
Braga;Liberec;Win
Ajax;Molde;Draw
Fenerbahçe;Celtic;Draw
Sion;Liverpool;Draw
Bordeaux;Rubin;Draw
Dortmund;PAOK;Loss
Gabala;Krasnodar;Loss
Napoli;Legia;Win
Midtjylland;Club Brugge;Draw
Plzeň;Villarreal;Draw
Rapid Wien;Dinamo Minsk;Win
Groningen;Braga;Draw
Liberec;Marseille;Loss
St-Étienne;Lazio;Draw
Dnipro;Rosenborg;Win
Skënderbeu;Lokomotiv Moskva;Loss
Sporting CP;Beşiktaş;Win
Lech;Basel;Loss
Fiorentina;Belenenses;Win
Tottenham;Monaco;Win
Anderlecht;Qarabağ;Win
Asteras;Schalke;Loss
APOEL;Sparta Praha;Loss
Athletic;AZ;Draw
Partizan;Augsburg;Loss
Fenerbahçe;Lokomotiv Moskva;Win
St-Étienne;Basel;Win
Villarreal;Napoli;Win
Sevilla;Molde;Win
Midtjylland;Man. United;Win
